"hhid","dist_road2","dist_popcenter2","dist_market","dist_border2","dist_admctr","af_bio_1","af_bio_8","af_bio_12","af_bio_13","af_bio_16","popdensity","hybrid_V8","ssa_aez09","afmnslp_pct","srtm_1k","twi","sq1","sq2","sq3","sq4","sq5","sq6","sq7","anntot_avg","wetQ_avg","wetQ_avgstart","h2018_tot","h2018_wetQ","h2018_wetQstart","qstartavg","ndvi_avg","ndvi_max","h2018_ndvi_avg","h2018_ndvi_max","lat_dd_mod","lon_dd_mod"
10001,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54,5.53545594433,7.53153560163
10002,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54,5.53545594433,7.53153560163
10003,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54,5.53545594433,7.53153560163
10004,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54,5.53545594433,7.53153560163
10005,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54,5.53545594433,7.53153560163
10008,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54,5.53545594433,7.53153560163
10009,1.1,11.3,44.9,539,11.3,260,247,2183,326,914,1317,34,313,10,137,12,3,2,1,1,1,1,1,1791,826,18,2255,1066,16,26,0.301,0.399,0.399,0.497,5.46540908966,7.56949383789
10010,1.1,4.2,50.1,533.2,4.2,262,249,2147,320,903,1092,29,313,11,126,13,3,2,1,1,1,1,1,1767,823,17,2279,1088,13,26,0.347,0.462,0.463,0.54,5.53545594433,7.53153560163
10031,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222,5.14203254737,7.37471602851
10032,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222,5.14203254737,7.37471602851
10033,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222,5.14203254737,7.37471602851
10034,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222,5.14203254737,7.37471602851
10035,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222,5.14203254737,7.37471602851
10036,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222,5.14203254737,7.37471602851
10037,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222,5.14203254737,7.37471602851
10038,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222,5.14203254737,7.37471602851
10040,2.2,3.7,3,527.4,3.7,264,251,2314,365,1005,1578,16,314,3,59,22,3,2,1,1,1,1,1,1772,799,16,2576,1128,16,25,0.22,0.3,0.196,0.222,5.14203254737,7.37471602851
10051,1.5,2.1,2.9,528.2,2.1,264,251,2355,374,1026,18210,49,314,1,58,15,3,2,1,1,1,1,1,1757,791,16,2578,1130,16,23,0.226,0.308,0.187,0.209,5.09037333332,7.36620770377
